Framework,Componentes,Ideal para
RTF,"Role, Task, Format",Generación de contenido estructurado y tareas específicas.
PARA,"Purpose, Action, Result, Assessment",Planificación y evaluación de proyectos.
SMART,"Specific, Measurable, Achievable, Relevant, Time‑bound",Definición de objetivos y metas.
ERQ,"Experience, Requirements, Qualifiers",Definición de perfiles y requisitos.
CODE,"Context, Objective, Details, Examples",Documentación técnica y guías.
PROS,"Perspective, Requirements, Outcome, Scope",Planificación de proyectos.
TEAM,"Task, Environment, Approach, Metrics",Trabajo en equipo y colaboración.
IDEA,"Identify, Define, Execute, Assess",Resolución de problemas.
CARE,"Context, Action, Result, Example",Instrucciones detalladas y aprendizaje.
RISE,"Role, Input, Steps, Expectation",Procesos y flujos de trabajo.
LOGIC,"Layout, Objective, Guidelines, Implementation, Criteria",Desarrollo de sistemas y procesos.
SCOPE,"Situation, Core Need, Obstacles, Plan, Evaluation",Definición y gestión de alcance.
FOCUS,"Frame, Objective, Constraints, Understanding, Solution",Resolución estructurada de problemas.
CLARITY,"Context, Limitations, Approach, Requirements, Implementation, Timeline, Yield",Gestión de proyectos complejos y migraciones.
EXPERT,"Expertise, Context, Purpose, Execution, Results, Testing",Proyectos técnicos especializados.
GUIDE,"Goal, User, Implementation, Delivery, Evaluation",Desarrollo de productos y servicios.
PATH,"Purpose, Approach, Target, Horizon",Planificación estratégica.
LEARN,"Level, Experience, Approach, Resources, Next steps",Planes de formación y desarrollo.
SOLVE,"Situation, Options, Limitations, Verification, Execution",Resolución de problemas complejos.
PRIME,"Problem, Research, Implementation, Monitoring, Evaluation",Proyectos de investigación y desarrollo.
ADAPT,"Analysis, Design, Approach, Progress, Testing",Proyectos adaptativos y ágiles.
BUILD,"Baseline, Understanding, Implementation, Learning, Delivery",Desarrollo de nuevos productos o servicios.
CRAFT,"Context, Requirements, Approach, Features, Testing",Desarrollo de soluciones a medida.
SCALE,"Strategy, Capabilities, Action, Learning, Evolution",Escalamiento de proyectos y operaciones.
THINK,"Topic, History, Insights, Next steps, Knowledge",Análisis estratégico y toma de decisiones.
GROW,"Goal, Reality, Options, Way Forward",Coaching y desarrollo personal.
QUEST,"Question, Understanding, Exploration, Solution, Testing",Investigación y resolución de problemas.
DRIVE,"Direction, Resources, Implementation, Validation, Evolution",Gestión de proyectos innovadores.
SHAPE,"Situation, History, Analysis, Plan, Execution",Transformación organizacional.
REACH,"Requirements, Evaluation, Approach, Completion, Handover",Gestión de proyectos end‑to‑end.
BLEND,"Baseline, Learning, Evolution, Navigation, Delivery",Proyectos híbridos y metodologías mixtas.
SPARK,"Strategy, Planning, Action, Results, Knowledge",Iniciativas de innovación.
PULSE,"Purpose, Understanding, Learning, Strategy, Evaluation",Monitoreo y mejora continua.
FAST,"Focus, Audience, Scope, Tone",Documentación técnica y guías de usuario.
TAG,"Tarea, Acción, Meta",Proyectos con objetivos medibles y acciones concretas.
BAB,"Antes, Después, Puente",Mostrar cambios y mejoras con un plan claro.
PEAS,"Propósito, Resultado, Audiencia, Estilo",Estrategias de comunicación y marketing.
STAR,"Situación, Tarea, Acción, Resultado",Documentar logros y experiencias.
QCQA,"Pregunta, Contexto, Calificación, Respuesta",Consultas estructuradas para resolver problemas paso a paso.
AIDA,"Atención, Interés, Deseo, Acción",Marketing persuasivo y creación de campañas.
LEAP,"Nivel, Expectativas, Enfoque, Parámetros",Planificación estratégica.
SPIN,"Situación, Problema, Implicación, Necesidad",Ventas consultivas y negociación.
DESIGN,"Define, Explore, Scope, Ideate, Guide, Narrow",Procesos de diseño y desarrollo.
VISION,"Visualize, Identify, Structure, Implement, Optimize, Navigate",Planificación estratégica.
IMPACT,"Intent, Message, Purpose, Audience, Channel, Timing",Estrategias de comunicación.
MASTER,"Mission, Approach, Strategy, Tactics, Execution, Review",Gestión de proyectos.
POWER,"Problem, Outcome, Why, Execution, Resources",Resolución de problemas.
DACI,"Driver, Approver, Contributor, Informed",Clarificar roles en la toma de decisiones.
RACI,"Responsable, Accountable, Consultado, Informado",Definir responsabilidades en proyectos.
HEART,"Happiness, Engagement, Adoption, Retention, Task success",Medición de experiencia de usuario a gran escala.
MECE,"Mutually Exclusive, Collectively Exhaustive",Estructurar análisis completos y asegurar cobertura total.
OODA,"Observe, Orient, Decide, Act",Entornos dinámicos y toma de decisiones rápidas.
PDCA,"Plan, Do, Check, Act",Optimización de procesos y gestión de calidad.
VMOST,"Vision, Mission, Objectives, Strategy, Tactics",Planificación estratégica y alineación organizacional.
SWOT,"Strengths, Weaknesses, Opportunities, Threats",Análisis de situación y planificación estratégica.
ADKAR,"Awareness, Desire, Knowledge, Ability, Reinforcement",Gestión del cambio centrado en las personas.
OKR,"Objectives, Key Results",Establecer metas ambiciosas y medibles.
5W2H,"What, Why, Where, When, Who, How, How much",Detallar planes de acción y proyectos.
6M,"Man, Machine, Material, Method, Measurement, Mother Nature",Análisis de causa raíz (Diagrama Ishikawa).
4P,"Product, Price, Place, Promotion",Estrategias de marketing y desarrollo de producto.
RICE,"Reach, Impact, Confidence, Effort",Priorización cuantitativa de funcionalidades o proyectos.
ICE,"Impact, Confidence, Ease",Priorización ágil y growth hacking.
RASCI,"Responsible, Accountable, Supportive, Consulted, Informed",Proyectos complejos con múltiples roles de apoyo.